period,stateid,stateDescription,sectorid,sectorName,customers,customers-units
2024-07,WV,West Virginia,IND,industrial,10944,number of customers
2024-07,WV,West Virginia,COM,commercial,151851,number of customers
2024-07,WV,West Virginia,ALL,all sectors,1027793,number of customers
2024-07,WA,Washington,TRA,transportation,5,number of customers
2024-07,WA,Washington,RES,residential,3370489,number of customers
2024-07,WA,Washington,OTH,other,,number of customers
2024-07,WA,Washington,IND,industrial,27474,number of customers
2024-07,WA,Washington,COM,commercial,410898,number of customers
2024-07,WA,Washington,ALL,all sectors,3808866,number of customers
2024-07,VA,Virginia,TRA,transportation,1,number of customers
2024-07,VA,Virginia,RES,residential,3685628,number of customers
2024-07,VA,Virginia,OTH,other,,number of customers
2024-07,VA,Virginia,IND,industrial,3995,number of customers
2024-07,VA,Virginia,COM,commercial,453332,number of customers
2024-07,VA,Virginia,ALL,all sectors,4142956,number of customers
2024-07,VT,Vermont,TRA,transportation,0,number of customers
2024-07,VT,Vermont,RES,residential,322185,number of customers
2024-07,VT,Vermont,OTH,other,,number of customers
2024-07,VT,Vermont,IND,industrial,233,number of customers
2024-07,VT,Vermont,COM,commercial,63513,number of customers
2024-07,VT,Vermont,ALL,all sectors,385931,number of customers
2024-07,UT,Utah,TRA,transportation,1,number of customers
2024-07,UT,Utah,RES,residential,1228832,number of customers
2024-07,UT,Utah,OTH,other,,number of customers
2024-07,UT,Utah,IND,industrial,11030,number of customers
2024-07,UT,Utah,COM,commercial,141702,number of customers
2024-07,UT,Utah,ALL,all sectors,1381565,number of customers
2024-07,TX,Texas,TRA,transportation,3,number of customers
2024-07,TX,Texas,RES,residential,12503653,number of customers
2024-07,TX,Texas,OTH,other,,number of customers
2024-07,TX,Texas,IND,industrial,385304,number of customers
2024-07,TX,Texas,COM,commercial,1622177,number of customers
2024-07,TX,Texas,ALL,all sectors,14511137,number of customers
2024-07,TN,Tennessee,TRA,transportation,0,number of customers
2024-07,TN,Tennessee,RES,residential,3106352,number of customers
2024-07,TN,Tennessee,OTH,other,,number of customers
2024-07,TN,Tennessee,IND,industrial,962,number of customers
2024-07,TN,Tennessee,COM,commercial,526051,number of customers
2024-07,TN,Tennessee,ALL,all sectors,3633365,number of customers
2024-07,SD,South Dakota,TRA,transportation,0,number of customers
2024-07,SD,South Dakota,RES,residential,437109,number of customers
2024-07,SD,South Dakota,OTH,other,,number of customers
2024-07,SD,South Dakota,IND,industrial,4406,number of customers
2024-07,SD,South Dakota,COM,commercial,78928,number of customers
2024-07,SD,South Dakota,ALL,all sectors,520443,number of customers
2024-07,SC,South Carolina,TRA,transportation,0,number of customers
2024-07,SC,South Carolina,RES,residential,2586672,number of customers
2024-07,SC,South Carolina,OTH,other,,number of customers
2024-07,SC,South Carolina,IND,industrial,3599,number of customers
2024-07,SC,South Carolina,COM,commercial,412026,number of customers
2024-07,SC,South Carolina,ALL,all sectors,3002297,number of customers
2024-07,RI,Rhode Island,TRA,transportation,1,number of customers
2024-07,RI,Rhode Island,RES,residential,454292,number of customers
2024-07,RI,Rhode Island,OTH,other,,number of customers
2024-07,RI,Rhode Island,IND,industrial,1646,number of customers
2024-07,RI,Rhode Island,COM,commercial,61800,number of customers
2024-07,RI,Rhode Island,ALL,all sectors,517739,number of customers
2024-07,PA,Pennsylvania,TRA,transportation,5,number of customers
2024-07,PA,Pennsylvania,RES,residential,5528153,number of customers
2024-07,PA,Pennsylvania,OTH,other,,number of customers
2024-07,PA,Pennsylvania,IND,industrial,11653,number of customers
2024-07,PA,Pennsylvania,COM,commercial,739445,number of customers
2024-07,PA,Pennsylvania,ALL,all sectors,6279256,number of customers
2024-07,OR,Oregon,TRA,transportation,2,number of customers
2024-07,OR,Oregon,RES,residential,1878079,number of customers
2024-07,OR,Oregon,OTH,other,,number of customers
2024-07,OR,Oregon,IND,industrial,25791,number of customers
2024-07,OR,Oregon,COM,commercial,252265,number of customers
2024-07,OR,Oregon,ALL,all sectors,2156137,number of customers
2024-07,OK,Oklahoma,TRA,transportation,0,number of customers
2024-07,OK,Oklahoma,RES,residential,1897768,number of customers
2024-07,OK,Oklahoma,OTH,other,,number of customers
2024-07,OK,Oklahoma,IND,industrial,18614,number of customers
2024-07,OK,Oklahoma,COM,commercial,306242,number of customers
2024-07,OK,Oklahoma,ALL,all sectors,2222624,number of customers
2024-07,OH,Ohio,TRA,transportation,2,number of customers
2024-07,OH,Ohio,RES,residential,5115490,number of customers
2024-07,OH,Ohio,OTH,other,,number of customers
2024-07,OH,Ohio,IND,industrial,18308,number of customers
2024-07,OH,Ohio,COM,commercial,628073,number of customers
2024-07,OH,Ohio,ALL,all sectors,5761873,number of customers
2024-07,ND,North Dakota,TRA,transportation,0,number of customers
2024-07,ND,North Dakota,RES,residential,398158,number of customers
2024-07,ND,North Dakota,OTH,other,,number of customers
2024-07,ND,North Dakota,IND,industrial,9494,number of customers
2024-07,ND,North Dakota,COM,commercial,77840,number of customers
2024-07,ND,North Dakota,ALL,all sectors,485492,number of customers
2024-07,NC,North Carolina,TRA,transportation,1,number of customers
2024-07,NC,North Carolina,RES,residential,5092197,number of customers
2024-07,NC,North Carolina,OTH,other,,number of customers
2024-07,NC,North Carolina,IND,industrial,9166,number of customers
2024-07,NC,North Carolina,COM,commercial,747688,number of customers
2024-07,NC,North Carolina,ALL,all sectors,5849052,number of customers
2024-07,NY,New York,TRA,transportation,8,number of customers
2024-07,NY,New York,RES,residential,7420220,number of customers
2024-07,NY,New York,OTH,other,,number of customers
2024-07,NY,New York,IND,industrial,16461,number of customers
2024-07,NY,New York,COM,commercial,1162237,number of customers
2024-07,NY,New York,ALL,all sectors,8598926,number of customers
2024-07,NM,New Mexico,TRA,transportation,0,number of customers
2024-07,NM,New Mexico,RES,residential,918601,number of customers
2024-07,NM,New Mexico,OTH,other,,number of customers
2024-07,NM,New Mexico,IND,industrial,9716,number of customers
2024-07,NM,New Mexico,COM,commercial,147017,number of customers
2024-07,NM,New Mexico,ALL,all sectors,1075334,number of customers
2024-07,NJ,New Jersey,TRA,transportation,7,number of customers
2024-07,NJ,New Jersey,RES,residential,3726178,number of customers
2024-07,NJ,New Jersey,OTH,other,,number of customers
2024-07,NJ,New Jersey,IND,industrial,11236,number of customers
2024-07,NJ,New Jersey,COM,commercial,541197,number of customers
2024-07,NJ,New Jersey,ALL,all sectors,4278618,number of customers
2024-07,NH,New Hampshire,TRA,transportation,0,number of customers
2024-07,NH,New Hampshire,RES,residential,650264,number of customers
2024-07,NH,New Hampshire,OTH,other,,number of customers
2024-07,NH,New Hampshire,IND,industrial,6240,number of customers
2024-07,NH,New Hampshire,COM,commercial,108230,number of customers
2024-07,NH,New Hampshire,ALL,all sectors,764734,number of customers
2024-07,NV,Nevada,TRA,transportation,1,number of customers
2024-07,NV,Nevada,RES,residential,1311736,number of customers
2024-07,NV,Nevada,OTH,other,,number of customers
2024-07,NV,Nevada,IND,industrial,4958,number of customers
2024-07,NV,Nevada,COM,commercial,177845,number of customers
2024-07,NV,Nevada,ALL,all sectors,1494540,number of customers
2024-07,NE,Nebraska,TRA,transportation,0,number of customers
2024-07,NE,Nebraska,RES,residential,914913,number of customers
2024-07,NE,Nebraska,OTH,other,,number of customers
2024-07,NE,Nebraska,IND,industrial,66234,number of customers
2024-07,NE,Nebraska,COM,commercial,164468,number of customers
2024-07,NE,Nebraska,ALL,all sectors,1145615,number of customers
2024-07,MT,Montana,TRA,transportation,0,number of customers
2024-07,MT,Montana,RES,residential,559489,number of customers
2024-07,MT,Montana,OTH,other,,number of customers
2024-07,MT,Montana,IND,industrial,14125,number of customers
2024-07,MT,Montana,COM,commercial,118244,number of customers
2024-07,MT,Montana,ALL,all sectors,691858,number of customers
2024-07,MO,Missouri,TRA,transportation,2,number of customers
2024-07,MO,Missouri,RES,residential,2894718,number of customers
2024-07,MO,Missouri,OTH,other,,number of customers
2024-07,MO,Missouri,IND,industrial,9207,number of customers
2024-07,MO,Missouri,COM,commercial,386457,number of customers
2024-07,MO,Missouri,ALL,all sectors,3290384,number of customers
2024-07,MS,Mississippi,TRA,transportation,0,number of customers
2024-07,MS,Mississippi,RES,residential,1375986,number of customers
2024-07,MS,Mississippi,OTH,other,,number of customers
2024-07,MS,Mississippi,IND,industrial,11410,number of customers
2024-07,MS,Mississippi,COM,commercial,245748,number of customers
2024-07,MS,Mississippi,ALL,all sectors,1633144,number of customers
2024-07,MN,Minnesota,TRA,transportation,1,number of customers
2024-07,MN,Minnesota,RES,residential,2606443,number of customers
2024-07,MN,Minnesota,OTH,other,,number of customers
2024-07,MN,Minnesota,IND,industrial,9541,number of customers
2024-07,MN,Minnesota,COM,commercial,309033,number of customers
2024-07,MN,Minnesota,ALL,all sectors,2925018,number of customers
2024-07,MI,Michigan,TRA,transportation,2,number of customers
2024-07,MI,Michigan,RES,residential,4532937,number of customers
2024-07,MI,Michigan,OTH,other,,number of customers
2024-07,MI,Michigan,IND,industrial,5680,number of customers
2024-07,MI,Michigan,COM,commercial,564621,number of customers
2024-07,MI,Michigan,ALL,all sectors,5103240,number of customers
2024-07,MA,Massachusetts,TRA,transportation,2,number of customers
